,<nil>,Apoptosis,Apoptosis -- Metastasis,Apoptosis -- Metastasis -- Proliferation,Apoptosis -- Proliferation,Metastasis,Metastasis -- Proliferation,Proliferation
27.0,0.931351,0.0062,0.0002,0.0,0.0,0.000649,0.0004,0.0612
27.1,0.931436,0.006115,0.0002,0.0,0.0,0.00065,0.0004,0.0612
27.2,0.931116,0.006484,0.0002,0.0,0.0,0.0006,0.0004,0.0612
27.3,0.931138,0.006462,0.0002,0.0,0.0,0.0006,0.0004,0.0612
27.4,0.9312,0.0064,0.0002,0.0,0.0,0.0006,0.0004,0.0612
27.5,0.931118,0.006229,0.000269,0.0,0.0,0.000926,0.000257,0.0612
27.6,0.931563,0.005609,0.0004,0.0,0.0,0.000929,0.0002,0.061299
27.7,0.931691,0.005688,0.000312,0.0,0.0,0.0008,0.0002,0.061309
27.8,0.931629,0.005853,0.0002,0.0,0.0,0.0008,0.0002,0.061319
27.9,0.931868,0.005532,0.0002,0.0,0.0,0.0008,0.0002,0.0614
28.0,0.931625,0.005736,0.000239,0.0,0.0,0.0008,0.0002,0.0614
28.1,0.93181,0.00539,0.000258,0.0,0.0,0.000942,0.0002,0.0614
28.2,0.931813,0.0052,0.0002,0.0,0.0,0.001,0.0002,0.061587
28.3,0.931969,0.005031,0.0002,0.0,0.0,0.001,0.0002,0.0616
28.4,0.93253,0.00447,0.0002,0.0,0.0,0.001,0.0002,0.0616
28.5,0.93255,0.00445,0.0002,0.0,0.0,0.001,0.0002,0.0616
28.6,0.932644,0.0044,0.0002,0.0,0.0,0.000956,0.0002,0.0616
28.7,0.932958,0.004242,0.0002,0.0,0.0,0.0008,0.0002,0.0616
28.8,0.932895,0.004127,0.0002,0.0,0.0,0.0008,0.0002,0.061778
28.9,0.93282,0.004,0.0002,0.0,0.0,0.00098,0.0002,0.0618
29.0,0.9328,0.004,0.0002,0.0,0.0,0.001,0.0002,0.0618
29.1,0.932793,0.004,0.0002,0.0,0.0,0.000907,0.0002,0.061901
29.2,0.93271,0.004232,0.0002,0.0,0.0,0.0008,0.0002,0.061858
29.3,0.93279,0.004381,0.0002,0.0,0.0,0.000629,0.0002,0.0618
29.4,0.93303,0.00417,0.0002,0.0,0.0,0.0006,0.0002,0.0618
29.5,0.933235,0.004,0.0002,0.0,0.0,0.000745,0.0002,0.061621
29.6,0.9332,0.004,0.0002,0.0,0.0,0.0008,0.0002,0.0616
29.7,0.933221,0.00406,0.0002,0.0,0.0,0.0008,0.0002,0.061519
29.8,0.933094,0.004306,0.0002,0.0,0.0,0.0008,0.0002,0.0614
